1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2024,46312PLLTN4343K,110000397874,TRADEBE TREATMENT & RECYCLING LLC,4343 KENNEDY AVE,EAST CHICAGO,LAKE,IN,46312,,,41.634395,-87.461624,,TRADEBE GP,020221619,TRADEBE ENVIRONMENTAL SERVICES LLC,NA,,TRADEBE GP,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1324222885826,Methyl isobutyl ketone,NO,0000108101,108-10-1,24851,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,116.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1752.830,0.000,0.000,0.000,0.000,0.000,0.000,1752.830,0.000,0.000,0.000,0.000,0.000,0.000,289313.160,4667.150,293980.310,0.000,8048.550,0.000,0.000,0.000,0.000,8048.550,0.000,303781.690,1869.550,0.000,0.000,116.720,1752.830,0.000,0.000,293980.310,146810.010,0.000,0.000,8048.550,450708.420,,ACTIVITY,1.000
2024,46514SPRRF1030A,110000398695,SUPERIOR INDUSTRIAL SOLUTIONS INC.,1030 ALL PRO DR,ELKHART,ELKHART,IN,46514,,,41.729661,-85.990503,,SUPERIOR INDUSTRIAL SOLUTIONS INC,039994975,SUPERIOR INDUSTRIAL SOLUTIONS INC,NA,,NA,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1324222978431,Styrene,NO,0000100425,100-42-5,19414,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,2512.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2512.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,343.800,343.800,0.000,0.000,0.000,0.000,0.000,0.000,307.740,0.000,307.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,651.540,2856.040,0.000,0.000,2512.240,0.000,343.800,0.000,307.740,0.000,0.000,0.000,0.000,3163.780,,PRODUCTION,1.260
2024,46725DWCLV2374S,110020518563,COLUMBIA CITY MILL SERVICES,2374 S COUNTY RD 800E,COLUMBIA CITY,WHITLEY,IN,46725,,,41.128369,-85.337714,,EDW C LEVY CO,005354816,EDW C LEVY CO,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327992,,,,,,1324222971640,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,345.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,345.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,345.000,0.000,0.000,345.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,345.000,,PRODUCTION,1.210
2024,46405PRCHM2319R,110000398427,PROCHEMCO INC.,2319 RIPLEY ST,LAKE STATION,LAKE,IN,46405,,,41.575744,-87.239946,,NA,,NA,NA,,NA,NO,324,Petroleum,,,,,,,324191,,,,,,1324223174475,2-Mercaptobenzothiazole,NO,0000149304,149-30-4,39883,NO,TRI,NO,Non_Metal,YES,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2024,47348PPLDC1133G,110002335642,107777 - BRC RUBBER & PLASTICS INC,1133 GILKEY AVE,HARTFORD CITY,BLACKFORD,IN,47348,,,40.461202,-85.389118,,NA,,NA,NA,,NA,NO,326,Plastics and Rubber,,,,,,,326299,,,,,,1324223026030,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56948.000,0.000,0.000,0.000,0.000,0.000,0.000,56948.000,0.000,0.000,1142.000,0.000,0.000,1142.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58090.000,56949.000,0.000,0.000,1.000,56948.000,0.000,0.000,0.000,0.000,1142.000,0.000,0.000,58091.000,,PRODUCTION,0.990
2024,46302XDCRP2601W,110000397712,GARFIELD FACILITY LLC,2601 W MOUNT PLEASANT BLVD,MUNCIE,DELAWARE,IN,47302,,,40.158023,-85.420939,,EDISON GROUP COS LLC,118086817,EDISON GROUP COS LLC,NA,,NA,NO,331,Primary Metals,,,,,,,331492,,,,,,1324222723569,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,26.120,83.440,7.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.990,44.556,0.000,44.556,0.000,1679982.000,56236.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3450.400,0.000,0.000,0.000,0.000,0.000,0.000,1739713.326,0.000,1598953.000,0.000,0.000,0.000,1598953.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3338666.326,1739830.316,0.000,0.000,116.990,3450.400,1736262.926,0.000,0.000,48861768.420,1598953.000,0.000,0.000,52200551.736,,PRODUCTION,0.920
2024,47353DLNDS215BR,110000792492,PROTECH POWDER COATINGS INC,215 BROWNSVILLE AVE,LIBERTY,UNION,IN,47353,,,39.638012,-84.933263,,NA,,PROTECH US HOLDINGS INC,NA,,THE PROTECH GROUP INC,NO,325,Chemicals,,,,,,,325510,,,,,,1324222675997,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,2911.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2911.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3076.500,0.000,0.000,0.000,0.000,3076.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3076.500,2911.900,0.000,0.000,2911.900,0.000,0.000,0.000,0.000,0.000,3076.500,0.000,0.000,5988.400,,PRODUCTION,0.650
2024,4671WLXNLL139SU,110037103675,MATALCO BLUFFTON LLC,1390 S ADAMS ST,BLUFFTON,WELLS,IN,46714,,,40.721528,-85.203199,,MATALCO USA LLC,NA,MATALCO USA LLC,NA,,NA,NO,331,Primary Metals,,,,,,,331314,,,,,,1324223152214,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000,0.000,41.090,0.000,1226.000,0.000,0.000,0.000,1226.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1267.090,41.090,0.000,0.000,0.000,41.090,0.000,0.000,0.000,79777.000,1226.000,0.000,0.000,81044.090,,PRODUCTION,0.650
2024,46206LLSNG2001S,110000742019,ROLLS-ROYCE CORP-INDIANAPOLIS OPERATIONS CAMPUS,2355 & 2001 S TIBBS AVE,INDIANAPOLIS,MARION,IN,46241,,,39.739703,-86.215876,,ROLLS-ROYCE N.A. HOLDINGS INC,188393854,ROLLS-ROYCE NORTH AMERICA HOLDINGS INC,ROLLS ROYCE HOLDINGS PLC,118176447,ROLLS ROYCE HOLDINGS PLC,NO,336,Transportation Equipment,,,,,,,336412,,,,,,1324222872576,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.400,0.000,33285.000,3256.000,0.000,0.000,36541.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37741.400,1221.400,0.000,0.000,21.000,1200.000,0.400,0.000,0.000,0.000,36541.000,0.000,0.000,37762.400,,ACTIVITY,1.040
2024,46402SSGRYONENO,110000398374,USS GARY WORKS,1 N BROADWAY,GARY,LAKE,IN,46402,,,41.608491,-87.337345,,US STEEL CORP,029990699,US STEEL CORP,NA,,NA,NO,331,Primary Metals,,,,,,,331110,,,,,,1324222831101,Silver compounds,NO,N740,N740,761312,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,2.000,6.000,15.000,0.000,0.000,0.000,0.000,0.000,6900.000,0.000,0.000,0.000,0.000,0.000,6923.000,0.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,66.000,0.000,0.000,139.000,0.000,0.000,139.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,205.000,6989.000,0.000,6900.000,23.000,0.000,66.000,0.000,0.000,1500.000,139.000,0.000,0.000,8628.000,0.000,PRODUCTION,1.000
