GEO_ID,NAME,pop,households,median_income,state,county,tract
1400000US18097330212,Census Tract 3302.12; Marion County; Indiana,5464,1760,98470,18,097,330212
1400000US18097330213,Census Tract 3302.13; Marion County; Indiana,3773,1442,96921,18,097,330213
1400000US18097330401,Census Tract 3304.01; Marion County; Indiana,5210,2074,124151,18,097,330401
1400000US18097330500,Census Tract 3305; Marion County; Indiana,6061,2561,76875,18,097,330500
1400000US18097330600,Census Tract 3306; Marion County; Indiana,5545,2523,48275,18,097,330600
1400000US18097330701,Census Tract 3307.01; Marion County; Indiana,2668,1078,37175,18,097,330701
1400000US18097330702,Census Tract 3307.02; Marion County; Indiana,4175,1407,50542,18,097,330702
1400000US18097330803,Census Tract 3308.03; Marion County; Indiana,4218,1638,41773,18,097,330803
1400000US18097330804,Census Tract 3308.04; Marion County; Indiana,3501,1528,49007,18,097,330804
1400000US18097330805,Census Tract 3308.05; Marion County; Indiana,2338,1264,28908,18,097,330805
1400000US18097330806,Census Tract 3308.06; Marion County; Indiana,5102,1578,42080,18,097,330806
1400000US18097330900,Census Tract 3309; Marion County; Indiana,6348,2847,41296,18,097,330900
1400000US18097331000,Census Tract 3310; Marion County; Indiana,4953,1593,49023,18,097,331000
1400000US18097340101,Census Tract 3401.01; Marion County; Indiana,4944,1889,70673,18,097,340101
1400000US18097340102,Census Tract 3401.02; Marion County; Indiana,4134,1900,45833,18,097,340102
1400000US18097340108,Census Tract 3401.08; Marion County; Indiana,3620,1344,42100,18,097,340108
1400000US18097340111,Census Tract 3401.11; Marion County; Indiana,3752,973,126688,18,097,340111
1400000US18097340112,Census Tract 3401.12; Marion County; Indiana,4806,2386,52770,18,097,340112
1400000US18097340113,Census Tract 3401.13; Marion County; Indiana,4087,1588,53553,18,097,340113
1400000US18097340114,Census Tract 3401.14; Marion County; Indiana,4105,1586,86016,18,097,340114
1400000US18097340115,Census Tract 3401.15; Marion County; Indiana,5571,3012,54304,18,097,340115
1400000US18097340201,Census Tract 3402.01; Marion County; Indiana,3568,1241,69632,18,097,340201
1400000US18097340202,Census Tract 3402.02; Marion County; Indiana,4980,2053,54968,18,097,340202
1400000US18097340301,Census Tract 3403.01; Marion County; Indiana,3477,1064,36083,18,097,340301
